 inputtext,Answer.sentiment.label
 miss pregnant woman found dead babi forcibl remov womb polic say,About the police - Negative
 anton carter found guilti kill offduti chicago polic offic michael bailey botch carjack 2010,About the police - Positive
 chicagobreak im friggin sick hear peopl shoot place dont care,About the police - Negative
 peterda cowardic peter cowardic anyway keep rememb berni sander start,Not about the police
 oprahgucci mom retir chicago polic depart today turn 63 year old week gemini szn,About the police - Positive
 chicagocaps14 cpdetd chicagopolic good luck incred difficult job thank,About the police - Positive
 slap face cpd civilian detail spokesman said mayor ad severa,About the police - Negative
 kmontenegro polic offic judg probat offic massiv overestim direct linkag someon,About the police - Negative
 molotov cocktail thrown chicago synagogu polic say,About the police - Neutral
 cbschicago lawyer repres chicago polic offic say kim foxx su alleg connect activist known,About the police - Neutral
 chicagobreak chicago polic arson unit investig 3 molotov cocktail found outsid lakeview east synagogu,About the police - Neutral
 samtskin cartunenetwerk mrmola bt would invok convers season 5 import par,Not about the police
 mayor emanuel revisionist histori polic reform,About the police - Neutral
 crweworld axon partner chicago polic depart first vr empathi train program debut new autism empathi traini,About the police - Positive
 columbuspolic westervillepd chicagopolic great job guy amp way repres,About the police - Positive
 chicago chicago polic seek suspect arson attempt synagogu,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chi,Not about the police
 charliekirk11 cb59carolina75 pete record mayor higher murder rate chicago 27 increas rape 563 la,Not about the police
 mutil bunni lincoln squar state investig lincoln squar chicago dnainfo lincoln squar,Not about the police
 incred blaze firebal illinoi meteor chicago polic camera capt via youtub,About the police - Neutral
 pregnant woman gone chicago home respons facebook offer free babi cloth strangl,Not about the police
 katebeaman katiekimnbc chicagopolic nbcchicago teen import stori,About the police - Negative
 cbschicago chicago polic fatal shoot man arm gun woodlawn,About the police - Neutral
 miss pregnant woman found slain babi cut womb chicago polic say,Not about the police
